"pot","tacc","cacc","soil","tsite","csite","tsp","csp","spdiv","accdiv","roots"
"P001","Des-F","Des-F","F","F","F","Des","Des",1,1,3.99675
"P002","Des-F","Des-P","F","F","P","Des","Des",1,2,3.27615
"P003","Des-F","Nar-F","F","F","F","Des","Nar",2,2,4.8079
"P004","Des-F","Nar-P","F","F","P","Des","Nar",2,2,4.8951
"P005","Des-F","Phl-F","F","F","F","Des","Phl",2,2,6.19305
"P006","Des-F","Phl-P","F","F","P","Des","Phl",2,2,4.0226
"P007","Des-F","Poa-F","F","F","F","Des","Poa",2,2,4.14205
"P008","Des-F","Poa-P","F","F","P","Des","Poa",2,2,3.6643
"P009","Des-P","Des-F","F","P","F","Des","Des",1,2,6.3939
"P010","Des-P","Des-P","F","P","P","Des","Des",1,1,2.7781
"P011","Des-P","Nar-F","F","P","F","Des","Nar",2,2,6.6791
"P012","Des-P","Nar-P","F","P","P","Des","Nar",2,2,5.52455
"P013","Des-P","Phl-F","F","P","F","Des","Phl",2,2,6.06745
"P014","Des-P","Phl-P","F","P","P","Des","Phl",2,2,2.6918
"P015","Des-P","Poa-F","F","P","F","Des","Poa",2,2,3.79535
"P016","Des-P","Poa-P","F","P","P","Des","Poa",2,2,2.4065
"P017","Nar-F","Des-F","F","F","F","Nar","Des",2,2,6.4818
"P018","Nar-F","Des-P","F","F","P","Nar","Des",2,2,5.14875
"P019","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,11.16985
"P020","Nar-F","Nar-P","F","F","P","Nar","Nar",1,2,6.4609
"P021","Nar-F","Phl-F","F","F","F","Nar","Phl",2,2,4.63565
"P022","Nar-F","Phl-P","F","F","P","Nar","Phl",2,2,3.9317
"P023","Nar-F","Poa-F","F","F","F","Nar","Poa",2,2,4.04305
"P024","Nar-F","Poa-P","F","F","P","Nar","Poa",2,2,14.73785
"P025","Nar-P","Des-F","F","P","F","Nar","Des",2,2,4.51145
"P026","Nar-P","Des-P","F","P","P","Nar","Des",2,2,5.1218
"P027","Nar-P","Nar-F","F","P","F","Nar","Nar",1,2,5.97305
"P028","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,10.57325
"P029","Nar-P","Phl-F","F","P","F","Nar","Phl",2,2,11.41215
"P030","Nar-P","Phl-P","F","P","P","Nar","Phl",2,2,4.1773
"P031","Nar-P","Poa-F","F","P","F","Nar","Poa",2,2,4.43635
"P032","Nar-P","Poa-P","F","P","P","Nar","Poa",2,2,7.2385
"P033","Phl-F","Des-F","F","F","F","Phl","Des",2,2,7.2504
"P034","Phl-F","Des-P","F","F","P","Phl","Des",2,2,6.3494
"P035","Phl-F","Nar-F","F","F","F","Phl","Nar",2,2,2.75405
"P036","Phl-F","Nar-P","F","F","P","Phl","Nar",2,2,3.98045
"P037","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,1.15175
"P038","Phl-F","Phl-P","F","F","P","Phl","Phl",1,2,2.21785
"P039","Phl-F","Poa-F","F","F","F","Phl","Poa",2,2,3.6494
"P040","Phl-F","Poa-P","F","F","P","Phl","Poa",2,2,3.1102
"P041","Phl-P","Des-F","F","P","F","Phl","Des",2,2,4.2012
"P042","Phl-P","Des-P","F","P","P","Phl","Des",2,2,2.31385
"P043","Phl-P","Nar-F","F","P","F","Phl","Nar",2,2,3.9083
"P044","Phl-P","Nar-P","F","P","P","Phl","Nar",2,2,7.9724
"P045","Phl-P","Phl-F","F","P","F","Phl","Phl",1,2,0.9925
"P046","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,5.1072
"P047","Phl-P","Poa-F","F","P","F","Phl","Poa",2,2,3.2412
"P048","Phl-P","Poa-P","F","P","P","Phl","Poa",2,2,3.3328
"P049","Poa-F","Des-F","F","F","F","Poa","Des",2,2,4.3684
"P050","Poa-F","Des-P","F","F","P","Poa","Des",2,2,2.08665
"P051","Poa-F","Nar-F","F","F","F","Poa","Nar",2,2,3.17205
"P052","Poa-F","Nar-P","F","F","P","Poa","Nar",2,2,5.4033
"P053","Poa-F","Phl-F","F","F","F","Poa","Phl",2,2,2.6673
"P054","Poa-F","Phl-P","F","F","P","Poa","Phl",2,2,9.37125
"P055","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,3.7094
"P056","Poa-F","Poa-P","F","F","P","Poa","Poa",1,2,2.80405
"P057","Poa-P","Des-F","F","P","F","Poa","Des",2,2,7.15025
"P058","Poa-P","Des-P","F","P","P","Poa","Des",2,2,12.3745
"P059","Poa-P","Nar-F","F","P","F","Poa","Nar",2,2,5.33235
"P060","Poa-P","Nar-P","F","P","P","Poa","Nar",2,2,5.29275
"P061","Poa-P","Phl-F","F","P","F","Poa","Phl",2,2,2.84445
"P062","Poa-P","Phl-P","F","P","P","Poa","Phl",2,2,4.3272
"P063","Poa-P","Poa-F","F","P","F","Poa","Poa",1,2,7.63955
"P064","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,9.3475
"P065","Des-F","Des-F","F","F","F","Des","Des",1,1,2.1133
"P066","Des-P","Des-P","F","P","P","Des","Des",1,1,2.73005
"P067","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,9.218
"P068","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,16.18955
"P069","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,3.6176
"P070","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,0.5778
"P071","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,2.40425
"P072","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,4.4619
"P073","Des-F","Des-F","F","F","F","Des","Des",1,1,5.23095
"P074","Des-P","Des-P","F","P","P","Des","Des",1,1,6.5147
"P075","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,4.8726
"P076","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,8.31215
"P077","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,1.21085
"P078","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,0.8642
"P079","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,2.4533
"P080","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,3.5223
"P081","Des-F","Des-F","F","F","F","Des","Des",1,1,4.80295
"P082","Des-P","Des-P","F","P","P","Des","Des",1,1,8.61435
"P083","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,5.8853
"P084","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,17.5566
"P085","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,1.18255
"P086","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,0.5412
"P087","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,2.7136
"P088","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,5.23195
"P089","Des-F","Des-F","P","F","F","Des","Des",1,1,1.8939
"P090","Des-F","Des-P","P","F","P","Des","Des",1,2,3.01015
"P091","Des-F","Nar-F","P","F","F","Des","Nar",2,2,1.87795
"P092","Des-F","Nar-P","P","F","P","Des","Nar",2,2,1.6472
"P093","Des-F","Phl-F","P","F","F","Des","Phl",2,2,1.156
"P094","Des-F","Phl-P","P","F","P","Des","Phl",2,2,1.4239
"P095","Des-F","Poa-F","P","F","F","Des","Poa",2,2,2.6944
"P096","Des-F","Poa-P","P","F","P","Des","Poa",2,2,2.3235
"P097","Des-P","Des-F","P","P","F","Des","Des",1,2,3.35315
"P098","Des-P","Des-P","P","P","P","Des","Des",1,1,1.8791
