"pot","tacc","cacc","soil","tsite","csite","tsp","csp","spdiv","accdiv","cshoot","tshoot","shoots"
"P001","Des-F","Des-F","F","F","F","Des","Des",1,1,0.927533333333334,2.03563333333333,2.96316666666666
"P002","Des-F","Des-P","F","F","P","Des","Des",1,2,0.608033333333333,1.80058333333333,2.40861666666666
"P003","Des-F","Nar-F","F","F","F","Des","Nar",2,2,1.41298333333333,1.64088333333333,3.05386666666666
"P004","Des-F","Nar-P","F","F","P","Des","Nar",2,2,1.02983333333333,1.25223333333333,2.28206666666666
"P005","Des-F","Phl-F","F","F","F","Des","Phl",2,2,0.138233333333333,1.96563333333333,2.10386666666666
"P006","Des-F","Phl-P","F","F","P","Des","Phl",2,2,0.217783333333333,2.37083333333333,2.58861666666666
"P007","Des-F","Poa-F","F","F","F","Des","Poa",2,2,0.614783333333333,2.23443333333333,2.84921666666666
"P008","Des-F","Poa-P","F","F","P","Des","Poa",2,2,0.890383333333333,1.62848333333333,2.51886666666666
"P009","Des-P","Des-F","F","P","F","Des","Des",1,2,1.31873333333333,0.900633333333334,2.21936666666666
"P010","Des-P","Des-P","F","P","P","Des","Des",1,1,0.857033333333333,1.48148333333333,2.33851666666666
"P011","Des-P","Nar-F","F","P","F","Des","Nar",2,2,1.03488333333333,2.27493333333333,3.30981666666666
"P012","Des-P","Nar-P","F","P","P","Des","Nar",2,2,1.81188333333333,0.849733333333333,2.66161666666666
"P013","Des-P","Phl-F","F","P","F","Des","Phl",2,2,0.688383333333333,1.23373333333333,1.92211666666666
"P014","Des-P","Phl-P","F","P","P","Des","Phl",2,2,0.218583333333333,2.07053333333333,2.28911666666666
"P015","Des-P","Poa-F","F","P","F","Des","Poa",2,2,0.454883333333334,1.80743333333333,2.26231666666666
"P016","Des-P","Poa-P","F","P","P","Des","Poa",2,2,1.69473333333333,0.554633333333333,2.24936666666666
"P017","Nar-F","Des-F","F","F","F","Nar","Des",2,2,1.68428333333333,1.46783333333333,3.15211666666666
"P018","Nar-F","Des-P","F","F","P","Nar","Des",2,2,0.812783333333333,1.87373333333333,2.68651666666666
"P019","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,0.966783333333334,1.79873333333333,2.76551666666666
"P020","Nar-F","Nar-P","F","F","P","Nar","Nar",1,2,1.63523333333333,0.834683333333333,2.46991666666666
"P021","Nar-F","Phl-F","F","F","F","Nar","Phl",2,2,0.617733333333333,2.07233333333333,2.69006666666666
"P022","Nar-F","Phl-P","F","F","P","Nar","Phl",2,2,0.0443333333333333,2.52183333333333,2.56616666666666
"P023","Nar-F","Poa-F","F","F","F","Nar","Poa",2,2,0.413633333333333,2.90278333333333,3.31641666666666
"P024","Nar-F","Poa-P","F","F","P","Nar","Poa",2,2,1.55743333333333,1.41858333333333,2.97601666666666
"P025","Nar-P","Des-F","F","P","F","Nar","Des",2,2,1.33533333333333,1.47633333333333,2.81166666666666
"P026","Nar-P","Des-P","F","P","P","Nar","Des",2,2,1.15793333333333,1.51668333333333,2.67461666666666
"P027","Nar-P","Nar-F","F","P","F","Nar","Nar",1,2,1.20868333333333,1.61543333333333,2.82411666666666
"P028","Nar-P","Nar-P","F","P","P","Nar","Nar",1,1,1.12248333333333,1.27453333333333,2.39701666666666
"P029","Nar-P","Phl-F","F","P","F","Nar","Phl",2,2,0.426033333333333,1.98638333333333,2.41241666666666
"P030","Nar-P","Phl-P","F","P","P","Nar","Phl",2,2,0.0924333333333332,2.04948333333333,2.14191666666666
"P031","Nar-P","Poa-F","F","P","F","Nar","Poa",2,2,0.872033333333333,1.92748333333333,2.79951666666666
"P032","Nar-P","Poa-P","F","P","P","Nar","Poa",2,2,1.17108333333333,1.63363333333333,2.80471666666666
"P033","Phl-F","Des-F","F","F","F","Phl","Des",2,2,2.22748333333333,0.348683333333333,2.57616666666666
"P034","Phl-F","Des-P","F","F","P","Phl","Des",2,2,1.87838333333333,0.377983333333333,2.25636666666666
"P035","Phl-F","Nar-F","F","F","F","Phl","Nar",2,2,1.91023333333333,0.271033333333333,2.18126666666666
"P036","Phl-F","Nar-P","F","F","P","Phl","Nar",2,2,2.11713333333333,0.329833333333334,2.44696666666666
"P037","Phl-F","Phl-F","F","F","F","Phl","Phl",1,1,0.632133333333333,0.402383333333333,1.03451666666667
"P038","Phl-F","Phl-P","F","F","P","Phl","Phl",1,2,0.181733333333333,0.459583333333333,0.641316666666666
"P039","Phl-F","Poa-F","F","F","F","Phl","Poa",2,2,0.569483333333334,0.640483333333333,1.20996666666667
"P040","Phl-F","Poa-P","F","F","P","Phl","Poa",2,2,1.65443333333333,0.644433333333333,2.29886666666666
"P041","Phl-P","Des-F","F","P","F","Phl","Des",2,2,1.52038333333333,0.409633333333333,1.93001666666666
"P042","Phl-P","Des-P","F","P","P","Phl","Des",2,2,1.48158333333333,0.557433333333333,2.03901666666666
"P043","Phl-P","Nar-F","F","P","F","Phl","Nar",2,2,2.33058333333333,0.371383333333334,2.70196666666666
"P044","Phl-P","Nar-P","F","P","P","Phl","Nar",2,2,2.43188333333333,0.210433333333333,2.64231666666666
"P045","Phl-P","Phl-F","F","P","F","Phl","Phl",1,2,0.472083333333334,0.412333333333333,0.884416666666667
"P046","Phl-P","Phl-P","F","P","P","Phl","Phl",1,1,0.317583333333333,0.366933333333334,0.684516666666667
"P047","Phl-P","Poa-F","F","P","F","Phl","Poa",2,2,1.68028333333333,0.216133333333333,1.89641666666666
"P048","Phl-P","Poa-P","F","P","P","Phl","Poa",2,2,1.54893333333333,0.513283333333333,2.06221666666666
"P049","Poa-F","Des-F","F","F","F","Poa","Des",2,2,1.40013333333333,1.24663333333333,2.64676666666666
"P050","Poa-F","Des-P","F","F","P","Poa","Des",2,2,1.00398333333333,0.938033333333333,1.94201666666666
"P051","Poa-F","Nar-F","F","F","F","Poa","Nar",2,2,2.32968333333333,0.699083333333333,3.02876666666666
"P052","Poa-F","Nar-P","F","F","P","Poa","Nar",2,2,2.66848333333333,0.472083333333334,3.14056666666666
"P053","Poa-F","Phl-F","F","F","F","Poa","Phl",2,2,0.410383333333333,1.26408333333333,1.67446666666666
"P054","Poa-F","Phl-P","F","F","P","Poa","Phl",2,2,0.0913333333333335,1.73373333333333,1.82506666666666
"P055","Poa-F","Poa-F","F","F","F","Poa","Poa",1,1,0.946083333333333,1.00823333333333,1.95431666666666
"P056","Poa-F","Poa-P","F","F","P","Poa","Poa",1,2,2.52088333333333,0.524733333333333,3.04561666666666
"P057","Poa-P","Des-F","F","P","F","Poa","Des",2,2,1.93348333333333,0.976183333333333,2.90966666666666
"P058","Poa-P","Des-P","F","P","P","Poa","Des",2,2,0.843433333333333,2.02733333333333,2.87076666666666
"P059","Poa-P","Nar-F","F","P","F","Poa","Nar",2,2,1.95448333333333,1.73923333333333,3.69371666666666
"P060","Poa-P","Nar-P","F","P","P","Poa","Nar",2,2,1.25943333333333,1.55748333333333,2.81691666666666
"P061","Poa-P","Phl-F","F","P","F","Poa","Phl",2,2,0.597433333333333,2.08388333333333,2.68131666666666
"P062","Poa-P","Phl-P","F","P","P","Poa","Phl",2,2,0.542233333333333,2.00263333333333,2.54486666666666
"P063","Poa-P","Poa-F","F","P","F","Poa","Poa",1,2,0.452833333333333,2.09223333333333,2.54506666666666
"P064","Poa-P","Poa-P","F","P","P","Poa","Poa",1,1,1.38218333333333,2.06143333333333,3.44361666666666
"P065","Des-F","Des-F","F","F","F","Des","Des",1,1,1.12708333333333,0.815383333333333,1.94246666666666
"P066","Des-P","Des-P","F","P","P","Des","Des",1,1,1.05933333333333,0.974283333333333,2.03361666666666
"P067","Nar-F","Nar-F","F","F","F","Nar","Nar",1,1,1.31163333333333,1.43333333333333,2.74496666666666
